               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072932,            0.023108,            0.029421,             0.41581,             0.35005,              0.3155,             0.13186,            0.058094,            0.012236,            0.015707,            0.070036,           0.0033294,           0.0033294
                   1,            0.058263,            0.019767,            0.016367,             0.39812,             0.36665,             0.30989,             0.13013,            0.057357,            0.013034,            0.016962,            0.039992,           0.0066187,           0.0066187
                   2,            0.058964,            0.019913,            0.016899,             0.36695,             0.28985,             0.22987,            0.089142,            0.062908,            0.013632,            0.022338,           0.0099038,           0.0098641,           0.0098641
                   3,            0.059721,            0.020394,            0.017446,             0.43212,             0.38778,             0.35943,             0.14569,            0.055355,            0.012311,            0.013244,            0.009802,            0.009802,            0.009802
                   4,            0.056635,            0.019954,            0.015574,             0.48657,             0.43836,             0.42098,             0.18531,            0.052229,            0.012148,            0.012031,            0.009802,            0.009802,            0.009802
                   5,            0.055003,            0.019288,            0.014264,             0.52212,             0.44115,             0.43305,             0.19353,            0.052017,            0.011945,            0.012703,            0.009736,            0.009736,            0.009736
                   6,            0.053805,            0.019133,            0.013886,             0.53593,             0.47726,             0.47808,             0.21941,            0.050023,            0.011638,            0.010534,             0.00967,             0.00967,             0.00967
                   7,            0.053046,             0.01922,            0.013039,             0.53939,             0.47117,             0.47611,             0.21881,            0.049745,            0.011649,            0.011014,            0.009604,            0.009604,            0.009604
                   8,            0.052217,            0.019102,            0.012532,              0.5466,             0.49091,             0.49119,             0.23216,            0.048915,            0.011484,            0.010567,            0.009538,            0.009538,            0.009538
                   9,            0.051728,            0.018868,            0.012295,             0.56989,             0.49478,             0.51085,             0.23817,            0.048679,            0.011347,            0.010102,            0.009472,            0.009472,            0.009472
                  10,            0.051148,            0.018727,            0.011872,             0.56585,               0.521,             0.53098,             0.25646,             0.04768,            0.011199,           0.0092081,            0.009406,            0.009406,            0.009406
                  11,            0.050894,            0.018519,            0.011402,             0.57717,             0.51546,             0.52442,             0.24796,            0.047435,            0.011267,           0.0096788,             0.00934,             0.00934,             0.00934
                  12,            0.050564,            0.018351,            0.011257,             0.58066,             0.53461,             0.54408,             0.26279,            0.046919,            0.011112,           0.0091454,            0.009274,            0.009274,            0.009274
                  13,            0.050285,            0.018542,            0.011126,             0.60484,             0.52318,             0.55589,             0.27138,            0.046301,             0.01098,           0.0090314,            0.009208,            0.009208,            0.009208
                  14,            0.049856,            0.018163,            0.011007,             0.59668,             0.54883,             0.56589,             0.28077,            0.045864,            0.010968,           0.0085684,            0.009142,            0.009142,            0.009142
                  15,             0.04978,            0.018345,            0.010816,             0.59731,             0.54563,             0.56732,             0.27916,            0.045667,            0.010963,           0.0085917,            0.009076,            0.009076,            0.009076
                  16,            0.049346,            0.018135,             0.01044,             0.60789,              0.5561,             0.57559,             0.28629,            0.045396,            0.010834,           0.0083387,             0.00901,             0.00901,             0.00901
                  17,            0.048998,            0.018006,            0.010298,             0.62067,             0.57239,             0.59163,             0.29396,            0.044879,            0.010808,           0.0081813,            0.008944,            0.008944,            0.008944
                  18,            0.048602,            0.018129,             0.01014,              0.6272,             0.56337,             0.59016,             0.29581,            0.044617,            0.010779,           0.0082746,            0.008878,            0.008878,            0.008878
                  19,            0.048469,            0.017915,           0.0099214,             0.61501,              0.5681,             0.59005,             0.29816,            0.044481,            0.010773,           0.0084753,            0.008812,            0.008812,            0.008812
                  20,            0.048205,            0.018042,           0.0098195,             0.63447,             0.56621,             0.60091,             0.30458,            0.044218,            0.010692,           0.0082982,            0.008746,            0.008746,            0.008746
                  21,            0.048108,            0.018005,           0.0097709,             0.63031,             0.57456,             0.60619,              0.3078,            0.044041,            0.010721,           0.0080621,             0.00868,             0.00868,             0.00868
                  22,            0.047806,             0.01808,           0.0093963,             0.63457,             0.57188,             0.60989,             0.31187,             0.04389,            0.010656,           0.0081591,            0.008614,            0.008614,            0.008614
                  23,            0.047516,             0.01782,            0.009352,             0.63194,               0.584,             0.61337,             0.31181,            0.043831,            0.010655,           0.0081563,            0.008548,            0.008548,            0.008548
                  24,            0.047695,            0.017724,           0.0093216,             0.62833,             0.58769,             0.61394,             0.31445,            0.043573,            0.010659,           0.0081267,            0.008482,            0.008482,            0.008482
                  25,            0.047414,            0.017742,           0.0093003,             0.63215,             0.58214,             0.61571,             0.31415,            0.043431,            0.010636,           0.0080993,            0.008416,            0.008416,            0.008416
                  26,            0.047248,            0.017692,           0.0092909,             0.63863,             0.58769,             0.62101,             0.31877,            0.043282,            0.010597,           0.0078174,             0.00835,             0.00835,             0.00835
                  27,            0.047093,            0.017626,           0.0091182,             0.64347,             0.58514,             0.62423,             0.32019,            0.043289,            0.010546,           0.0077406,            0.008284,            0.008284,            0.008284
                  28,             0.04662,            0.017594,           0.0089472,             0.64147,             0.58936,             0.62348,             0.31986,            0.043231,            0.010544,           0.0076694,            0.008218,            0.008218,            0.008218
                  29,            0.046603,             0.01756,           0.0086948,             0.63895,             0.58907,             0.62401,             0.32116,            0.043045,             0.01054,           0.0076287,            0.008152,            0.008152,            0.008152
                  30,            0.046479,            0.017511,           0.0086228,             0.62779,              0.6012,               0.625,             0.32231,            0.042881,             0.01055,           0.0076354,            0.008086,            0.008086,            0.008086
                  31,            0.046482,            0.017476,           0.0086364,             0.62985,             0.59648,             0.62505,             0.32352,            0.042789,            0.010547,           0.0075311,             0.00802,             0.00802,             0.00802
                  32,            0.046402,             0.01724,           0.0086761,             0.63723,             0.59236,             0.62684,             0.32508,            0.042795,            0.010545,           0.0075026,            0.007954,            0.007954,            0.007954
                  33,            0.045919,            0.017433,           0.0084335,             0.64023,             0.59395,             0.62715,             0.32622,              0.0428,            0.010549,           0.0075029,            0.007888,            0.007888,            0.007888
                  34,            0.046021,            0.017428,            0.008205,             0.64291,             0.59419,             0.62932,              0.3269,            0.042766,            0.010554,           0.0074918,            0.007822,            0.007822,            0.007822
                  35,            0.045893,            0.017291,           0.0081838,             0.64884,             0.59053,             0.62953,             0.32774,            0.042722,            0.010554,           0.0074862,            0.007756,            0.007756,            0.007756
                  36,            0.045843,            0.017394,           0.0079678,             0.64736,              0.5934,              0.6301,             0.32843,            0.042672,            0.010557,           0.0074989,             0.00769,             0.00769,             0.00769
                  37,            0.045426,            0.017216,           0.0080435,             0.64841,             0.59194,             0.63121,             0.32833,            0.042633,            0.010555,           0.0075139,            0.007624,            0.007624,            0.007624
                  38,            0.045372,             0.01716,           0.0079523,             0.63862,             0.60074,             0.63142,             0.32884,             0.04262,            0.010561,           0.0075497,            0.007558,            0.007558,            0.007558
                  39,            0.045142,            0.017167,           0.0078649,             0.64978,             0.59095,             0.63227,             0.32923,            0.042595,            0.010558,           0.0075761,            0.007492,            0.007492,            0.007492
                  40,            0.045285,            0.017127,           0.0076854,             0.65605,             0.58939,             0.63365,             0.33012,             0.04256,            0.010559,           0.0075941,            0.007426,            0.007426,            0.007426
                  41,            0.045117,            0.016916,           0.0076572,             0.65708,             0.59176,             0.63497,             0.33092,            0.042526,            0.010554,           0.0076114,             0.00736,             0.00736,             0.00736
                  42,            0.044869,            0.017094,           0.0075159,             0.64575,             0.59766,             0.63441,             0.33194,            0.042519,            0.010553,           0.0076211,            0.007294,            0.007294,            0.007294
                  43,            0.044686,            0.016903,            0.007537,             0.64861,             0.59666,             0.63434,             0.33164,            0.042518,            0.010551,           0.0076268,            0.007228,            0.007228,            0.007228
                  44,            0.044695,            0.016841,             0.00755,             0.64968,             0.59687,             0.63418,             0.33186,            0.042517,            0.010552,           0.0076174,            0.007162,            0.007162,            0.007162
                  45,             0.04454,            0.016918,           0.0072188,             0.65111,             0.59485,             0.63486,             0.33242,            0.042507,            0.010552,           0.0076346,            0.007096,            0.007096,            0.007096
                  46,            0.044284,            0.016996,           0.0072763,             0.64877,             0.59666,             0.63507,             0.33267,            0.042498,            0.010554,           0.0076497,             0.00703,             0.00703,             0.00703
                  47,            0.044221,            0.016866,           0.0073074,             0.64782,             0.59691,             0.63503,             0.33297,            0.042478,            0.010555,           0.0076574,            0.006964,            0.006964,            0.006964
                  48,            0.044253,            0.016756,           0.0074126,             0.64986,             0.59574,             0.63526,             0.33311,             0.04248,            0.010556,           0.0076656,            0.006898,            0.006898,            0.006898
                  49,            0.044129,            0.016853,           0.0072323,             0.65105,             0.59564,             0.63566,             0.33334,            0.042476,            0.010555,           0.0076721,            0.006832,            0.006832,            0.006832
                  50,            0.043971,            0.016852,           0.0070341,              0.6494,             0.59732,             0.63688,               0.334,            0.042463,            0.010556,           0.0076784,            0.006766,            0.006766,            0.006766
                  51,            0.043454,            0.016781,           0.0069896,             0.64317,             0.60266,             0.63682,             0.33421,            0.042444,            0.010553,           0.0076884,              0.0067,              0.0067,              0.0067
                  52,            0.043583,            0.016589,           0.0069287,             0.64229,             0.60436,             0.63748,             0.33454,            0.042427,            0.010553,           0.0076964,            0.006634,            0.006634,            0.006634
                  53,            0.043406,            0.016717,           0.0068831,             0.64214,             0.60401,             0.63661,             0.33477,            0.042415,            0.010551,            0.007709,            0.006568,            0.006568,            0.006568
                  54,            0.043346,            0.016653,           0.0066603,             0.64167,             0.60599,             0.63681,             0.33467,            0.042409,            0.010552,           0.0077198,            0.006502,            0.006502,            0.006502
                  55,            0.043032,            0.016717,           0.0068025,             0.63898,             0.60845,             0.63673,             0.33469,            0.042409,            0.010551,             0.00773,            0.006436,            0.006436,            0.006436
                  56,            0.042931,            0.016594,           0.0065384,             0.64212,             0.60638,              0.6369,             0.33464,            0.042409,            0.010549,           0.0077358,             0.00637,             0.00637,             0.00637
                  57,            0.042965,            0.016525,           0.0066907,             0.64203,             0.60664,             0.63719,             0.33505,            0.042402,            0.010549,           0.0077501,            0.006304,            0.006304,            0.006304
                  58,            0.042635,            0.016338,           0.0064699,             0.64337,             0.60681,             0.63801,             0.33526,            0.042392,            0.010545,           0.0077605,            0.006238,            0.006238,            0.006238
                  59,            0.042657,            0.016263,           0.0064648,              0.6432,              0.6079,             0.63886,             0.33554,            0.042394,            0.010543,           0.0077643,            0.006172,            0.006172,            0.006172
                  60,             0.04249,            0.016425,           0.0063012,             0.64211,             0.60798,             0.63907,             0.33613,             0.04239,            0.010541,           0.0077741,            0.006106,            0.006106,            0.006106
                  61,            0.042384,            0.016327,           0.0063709,             0.64169,             0.61026,             0.63991,               0.336,             0.04238,            0.010539,           0.0077836,             0.00604,             0.00604,             0.00604
                  62,            0.042063,            0.016396,           0.0062067,             0.64114,             0.61223,             0.63969,             0.33623,             0.04237,            0.010536,           0.0078004,            0.005974,            0.005974,            0.005974
                  63,             0.04212,            0.016294,           0.0062347,             0.64236,             0.61331,             0.64085,             0.33624,            0.042369,            0.010533,            0.007817,            0.005908,            0.005908,            0.005908
                  64,            0.042025,            0.016291,           0.0060787,             0.64321,             0.61266,             0.64086,             0.33658,            0.042368,             0.01053,           0.0078362,            0.005842,            0.005842,            0.005842
                  65,            0.042026,            0.016083,           0.0060301,             0.64789,             0.61039,             0.64084,             0.33685,            0.042355,            0.010525,           0.0078541,            0.005776,            0.005776,            0.005776
                  66,            0.041716,            0.016159,           0.0060274,             0.65195,              0.6078,             0.64166,              0.3372,            0.042343,            0.010522,           0.0078695,             0.00571,             0.00571,             0.00571
                  67,            0.041605,            0.016131,           0.0059707,             0.65565,             0.60543,             0.64198,              0.3375,            0.042328,             0.01052,           0.0078857,            0.005644,            0.005644,            0.005644
                  68,            0.041336,            0.015922,           0.0058442,             0.65705,             0.60465,             0.64107,             0.33726,            0.042323,            0.010517,            0.007903,            0.005578,            0.005578,            0.005578
                  69,            0.041263,            0.015986,           0.0057979,             0.65403,             0.60754,             0.64204,             0.33756,            0.042319,            0.010515,           0.0079171,            0.005512,            0.005512,            0.005512
                  70,            0.041038,            0.015933,           0.0057452,              0.6503,             0.61163,             0.64233,             0.33812,            0.042314,            0.010512,           0.0079373,            0.005446,            0.005446,            0.005446
                  71,            0.040878,            0.016039,           0.0057168,              0.6512,             0.61125,              0.6418,             0.33838,            0.042309,             0.01051,           0.0079538,             0.00538,             0.00538,             0.00538
                  72,            0.040593,            0.015764,           0.0055379,             0.65358,             0.60945,             0.64228,             0.33822,              0.0423,            0.010509,           0.0079705,            0.005314,            0.005314,            0.005314
                  73,            0.040763,            0.015804,           0.0055834,             0.65406,             0.60994,             0.64283,             0.33853,            0.042292,            0.010508,           0.0079921,            0.005248,            0.005248,            0.005248
                  74,             0.04052,            0.015881,           0.0055749,             0.65206,             0.61062,              0.6428,             0.33888,            0.042283,            0.010506,           0.0080078,            0.005182,            0.005182,            0.005182
                  75,            0.040169,            0.015616,           0.0054441,             0.65403,             0.61077,             0.64285,             0.33919,            0.042279,            0.010506,           0.0080351,            0.005116,            0.005116,            0.005116
                  76,              0.0403,            0.015456,           0.0054984,             0.65251,             0.61023,             0.64243,             0.33931,             0.04228,            0.010504,           0.0080545,             0.00505,             0.00505,             0.00505
                  77,            0.040183,            0.015752,           0.0054226,             0.65471,             0.60977,              0.6426,              0.3393,            0.042284,            0.010503,           0.0080777,            0.004984,            0.004984,            0.004984
                  78,            0.039972,            0.015576,           0.0054059,             0.65592,             0.60858,             0.64246,             0.33913,            0.042293,            0.010501,           0.0081011,            0.004918,            0.004918,            0.004918
                  79,            0.039654,            0.015529,           0.0052144,             0.65402,              0.6111,             0.64303,             0.33934,            0.042292,              0.0105,           0.0081244,            0.004852,            0.004852,            0.004852
                  80,            0.039751,            0.015401,           0.0051666,              0.6547,             0.61206,              0.6432,             0.33967,            0.042294,            0.010499,            0.008142,            0.004786,            0.004786,            0.004786
                  81,            0.039625,              0.0154,           0.0051973,             0.65548,             0.61284,             0.64315,             0.33974,            0.042301,            0.010497,           0.0081728,             0.00472,             0.00472,             0.00472
                  82,            0.039359,            0.015352,           0.0051351,              0.6555,             0.61345,             0.64315,             0.33988,            0.042304,            0.010498,           0.0081936,            0.004654,            0.004654,            0.004654
                  83,            0.039144,            0.015256,           0.0051413,             0.65389,             0.61505,             0.64357,                0.34,            0.042311,            0.010497,           0.0082178,            0.004588,            0.004588,            0.004588
                  84,            0.038841,            0.015251,           0.0048999,              0.6568,             0.61249,             0.64405,             0.34018,            0.042322,            0.010498,           0.0082375,            0.004522,            0.004522,            0.004522
                  85,            0.038836,            0.015275,           0.0048644,             0.65842,             0.61229,             0.64433,             0.34035,            0.042327,            0.010498,           0.0082499,            0.004456,            0.004456,            0.004456
                  86,            0.038739,            0.015109,           0.0048363,              0.6549,             0.61333,             0.64359,              0.3402,            0.042336,            0.010497,           0.0082786,             0.00439,             0.00439,             0.00439
                  87,            0.038755,            0.015111,            0.004783,             0.65583,             0.61291,             0.64357,             0.34074,            0.042343,            0.010499,           0.0083103,            0.004324,            0.004324,            0.004324
                  88,            0.038332,            0.014952,           0.0047054,             0.65696,             0.61253,             0.64398,             0.34109,            0.042345,            0.010501,           0.0083421,            0.004258,            0.004258,            0.004258
                  89,            0.038226,            0.014907,            0.004626,              0.6573,             0.61345,             0.64378,             0.34112,            0.042348,            0.010502,           0.0083752,            0.004192,            0.004192,            0.004192
                  90,            0.037976,            0.014959,           0.0046995,             0.65713,             0.61266,             0.64357,             0.34139,            0.042361,            0.010505,           0.0083954,            0.004126,            0.004126,            0.004126
                  91,            0.037929,            0.014746,           0.0045588,             0.65574,             0.61279,             0.64377,             0.34152,            0.042376,            0.010508,            0.008424,             0.00406,             0.00406,             0.00406
                  92,            0.037704,            0.014861,           0.0045998,              0.6574,             0.61158,             0.64312,             0.34145,            0.042398,            0.010512,            0.008455,            0.003994,            0.003994,            0.003994
                  93,            0.037536,             0.01474,           0.0045222,              0.6623,             0.61126,              0.6434,             0.34148,            0.042419,            0.010517,           0.0084986,            0.003928,            0.003928,            0.003928
                  94,            0.037459,            0.014826,           0.0043918,             0.66288,             0.61064,             0.64314,              0.3414,            0.042441,            0.010522,           0.0085443,            0.003862,            0.003862,            0.003862
                  95,            0.037027,            0.014542,           0.0044156,             0.66314,              0.6109,             0.64303,             0.34156,            0.042456,            0.010527,           0.0085923,            0.003796,            0.003796,            0.003796
                  96,            0.037077,            0.014605,           0.0044456,             0.66454,             0.60918,             0.64234,             0.34118,            0.042468,            0.010533,           0.0086268,             0.00373,             0.00373,             0.00373
